Vehicle;Dangerous driving (points);Dangerous driving points p/100km;Driven distance (km);Driving duration;Average speed (km/h);Maximum speed (km/h);Overspeeding duration;Overspeeding percentage (% of driving time);Extreme braking (events);Extreme braking events (events/100km);Harsh braking events;Harsh braking events (events/100km);Normal braking events;Normal braking events (events/100km);Harsh acceleration (events);Harsh acceleration events (events/100km);Idling duration;Excess Idling (%)
Objeto 17;360.3;138.88;259.43;10:32:06;24.63;88.0;0:00:14;0.04;680.0;262.12;1594.0;614.43;1054.0;406.28;647.0;249.39;0:00:00;0.0
Objeto 18;14.2;1966.76;0.72;0:21:51;1.98;12.0;0:00:00;0.0;19.0;2631.58;98.0;13573.41;32.0;4432.13;6.0;831.02;0:10:52;49.73
Objeto 19;310.2;123.24;251.7;11:36:05;21.7;77.0;0:00:00;0.0;564.0;224.08;1713.0;680.57;759.0;301.55;261.0;103.69;0:11:09;1.6
Objeto 20;582.96;190.97;305.27;10:29:44;29.09;95.0;0:02:31;0.4;1331.0;436.01;2423.0;793.72;1945.0;637.14;706.0;231.27;0:00:00;0.0
Objeto 21;0.0;0.0;0.0;0:00:00;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
Objeto 22;247.16;121.67;203.15;9:44:56;20.84;90.0;0:00:31;0.09;474.0;233.33;1137.0;559.69;1036.0;509.97;382.0;188.04;0:08:22;1.43
Objeto 23;5.3;3192.77;0.17;0:06:25;1.55;19.0;0:00:00;0.0;18.0;10843.37;16.0;9638.55;8.0;4819.28;1.0;602.41;0:00:00;0.0
Objeto 24;4.7;63.82;7.36;0:38:21;11.52;60.0;0:00:00;0.0;5.0;67.9;35.0;475.29;13.0;176.53;2.0;27.16;0:00:00;0.0
Objeto 25;610.25;236.19;258.37;14:59:33;17.23;87.0;0:00:18;0.03;1159.0;448.58;2553.0;988.12;2016.0;780.28;1229.0;475.68;0:48:58;5.44
Objeto 26;145.5;83.0;175.31;8:21:30;20.97;77.0;0:00:00;0.0;240.0;136.9;909.0;518.51;546.0;311.45;66.0;37.65;0:00:00;0.0
Objeto 27;8.7;14.35;60.64;3:17:25;18.43;77.0;0:00:00;0.0;3.0;4.95;81.0;133.57;232.0;382.56;0.0;0.0;0:00:00;0.0
Objeto 28;0.1;1.56;6.41;0:37:08;10.36;57.0;0:00:00;0.0;0.0;0.0;1.0;15.6;13.0;202.77;0.0;0.0;0:00:00;0.0
Objeto 29;0.0;0.0;0.04;3:55:09;0.01;12.0;0:00:00;0.0;0.0;0.0;0.0;0.0;2.0;4878.05;0.0;0.0;3:43:15;94.94
Objeto 30;19.36;19.21;100.76;5:09:00;19.56;84.0;0:00:04;0.02;20.0;19.85;153.0;151.85;396.0;393.03;0.0;0.0;0:11:02;3.57
Objeto 31;142.9;69.15;206.66;11:12:18;18.44;81.0;0:00:00;0.0;235.0;113.71;898.0;434.53;448.0;216.78;61.0;29.52;0:15:38;2.33
Objeto 32;313.75;108.24;289.86;15:23:26;18.83;96.0;0:01:20;0.14;565.0;194.92;1579.0;544.74;878.0;302.9;415.0;143.17;0:46:31;5.04
Objeto 33;0.5;8.17;6.12;0:26:24;13.92;46.0;0:00:00;0.0;0.0;0.0;5.0;81.66;26.0;424.63;0.0;0.0;0:00:00;0.0
Objeto 34;24.68;73.58;33.54;0:52:11;38.56;88.0;0:00:17;0.54;44.0;131.2;126.0;375.72;74.0;220.66;28.0;83.49;0:00:00;0.0
Objeto 35;168.9;68.51;246.55;12:37:03;19.54;74.0;0:00:00;0.0;290.0;117.62;954.0;386.94;640.0;259.58;155.0;62.87;0:58:59;7.79
Objeto 36;36.13;22.15;163.11;7:58:43;20.44;91.0;0:00:36;0.13;31.0;19.01;294.0;180.25;620.0;380.11;0.0;0.0;0:18:49;3.93
Objeto 37;28.6;8.7;328.91;3:58:34;82.72;64.0;0:00:00;0.0;42.0;12.77;196.0;59.59;89.0;27.06;6.0;1.82;0:12:09;5.09
Objeto 38;44.6;122.48;36.42;2:53:57;12.56;43.0;0:00:00;0.0;58.0;159.28;283.0;777.15;149.0;409.17;47.0;129.07;0:06:49;3.92
Objeto 39;18.51;11.36;162.93;11:55:36;13.66;90.0;0:00:15;0.03;2.0;1.23;176.0;108.02;634.0;389.13;3.0;1.84;0:24:24;3.41
Objeto 40;123.39;60.47;204.05;10:51:04;18.8;94.0;0:00:50;0.13;243.0;119.09;689.0;337.66;380.0;186.23;52.0;25.48;0:43:49;6.73
Objeto 41;0.0;0.0;0.0;0:13:31;0.0;0.0;0:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0:00:00;0.0
